Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'error_reply_embed',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'handle_errors',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'if_ready',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'retire',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'transform_error_msg',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'update',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'add_commands',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'if_ready',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'reload_all_ext',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'retire',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'shutdown',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'stop_the_reaction_petros',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method 'update',in Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for method '_compile_all_regexes',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method '_load_regexes',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method '_process_raw_regexes',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method 'if_ready',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method 'regex',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method 'retire',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method 'update',in Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for method 'if_ready',in Class 'TimeKeeper', in module 'time_keeper', with path 'antipetros_discordbot/bot_support/sub_support/time_keeper.py'

Missing Docstring for method 'retire',in Class 'TimeKeeper', in module 'time_keeper', with path 'antipetros_discordbot/bot_support/sub_support/time_keeper.py'

Missing Docstring for method 'update',in Class 'TimeKeeper', in module 'time_keeper', with path 'antipetros_discordbot/bot_support/sub_support/time_keeper.py'

Missing Docstring for method 'to_dict',in Class 'BlacklistedUserItem', in module 'blacklisted_user_item', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/blacklisted_user_item.py'

Missing Docstring for method 'tried_calling',in Class 'BlacklistedUserItem', in module 'blacklisted_user_item', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/blacklisted_user_item.py'

Missing Docstring for method 'unblacklist',in Class 'BlacklistedUserItem', in module 'blacklisted_user_item', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/blacklisted_user_item.py'

Missing Docstring for method 'add_tick',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method 'copy',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method 'initialize_data',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method 'load_data',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method 'save_data',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method 'save_overall',in Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for method '_timed_removal',in Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for method 'add',in Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for method 'copy',in Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for method 'in_data',in Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for method 'string_to_int',in Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for method '_invoke_dump_processors',in Class 'EmbedAuthorSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for method '_invoke_field_validators',in Class 'EmbedAuthorSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for method '_invoke_load_processors',in Class 'EmbedAuthorSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for method '_invoke_processors',in Class 'EmbedAuthorSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

