Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'count',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rstrip',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'split',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'splitlines',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'startswith',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'strip',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'swapcase',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'title',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'translate',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'upper',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'zfill',in Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'capitalize',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'count',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'encode',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'endswith',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'expandtabs',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'find',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'format_map',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'index',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalnum',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isalpha',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isascii',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdecimal',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isdigit',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isidentifier',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'islower',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isnumeric',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isprintable',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isspace',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'istitle',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'isupper',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'join',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'ljust',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lower',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'lstrip',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'partition',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removeprefix',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'removesuffix',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'replace',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rfind',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rindex',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rjust',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rpartition',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'rsplit',in Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

